repo	sha	label	fp_class	klass	added_loc	base_loc	note
fuddlesworth/PlasmaZones	a2e2e0c941cc	TP		cross-file-chunk	kcm/general/kcmgeneral.cpp:load/save vs kcm/snapping/kcmsnapping.cpp + kcm/autotiling/kcmautotiling.cpp		monolith-split into sub-KCMs copied load()/save() lifecycle scaffolding verbatim (KQuickConfigModule::load + m_settings->load + emitAllChanged + setNeedsSave; save = m_settings->save + KCMDBus::notifyReload + KQuickConfigModule::save) across every sub-KCM instead of a shared base
fuddlesworth/PlasmaZones	c5f6c67393fe	TP		within-file-chunk	kcm/kcm_plasmazones.cpp:1183-1380 (setAutotile* cluster)		~30 setAutotileX setters share the copy-pasted-and-edited Qt property-setter body (qBound clamp + if(cur!=v){set;Q_EMIT xChanged();setNeedsSave(true);}) with only property name / bound constants changed
fuddlesworth/PlasmaZones	a2e2e0c941cc	TP		cross-file-chunk	kcm/snapping/kcmsnapping.cpp:38-43 vs kcm/autotiling/kcmautotiling.cpp:36-40		duplicated QDBusConnection::sessionBus().connect(ServiceName,ObjectPath,Screen,screenAdded/screenRemoved -> refreshScreens()) wiring block copied into each sub-KCM ctor; author added common/dbusutils.h but left this block duplicated
gcol33/tulpa	n/a	FP	other		src/tulpa_shims_pg.h:114-185	src/tulpa_shims.cpp	verbatim cross-file w=1.00 между tulpa_shims_*.h и tulpa_shims.cpp — это РЕФАКТОР-ВЫНОС: монолитный tulpa_shims.cpp разрезали на per-topic заголовки (pg/sparse/stochastic). Код перемещён, не продублирован (старый и новый одновременно не живут / clean cut).
gizmodata/gizmosql	0171cc6f5677e5e0ea3a4cac1f1e66452355f157	FP	idiom		src/client/output_renderer.cpp:164-291 (CsvEscape/JsonEscape/SqlEscape/HtmlEscape/LatexEscape)		Five small escape() helpers share the canonical character-substitution idiom: take string, loop chars, append replacement-or-char, return. Token streams collide heavily (loop header, append calls, return) even though the escape MAPS are entirely different (CSV quote-doubling vs JSON \u vs HTML &amp; vs LaTeX backslash). Detector sees structural twins; semantically they are distinct, deliberate, and irreducible — merging them would need a table-driven escaper that hurts readability.
gizmodata/gizmosql	367fcebde0bfcf5020f887c5185fcddd66d0b2bf	FP	whole-file		src/common/gizmosql_security.cpp:1-200 ⟵ src/library/flight_sql_security.cpp		gizmosql_security.cpp is a renamed fork of the upstream Arrow Flight SQL example flight_sql_security.cpp (SecurityUtilities::FlightServerTlsCertificates, FindKeyValPrefixInCallHeaders, CreateJWTToken, etc. all carry the ASF license header). This commit only reflows '&'/'*' spacing and adds logging; the cross-file similarity the detector reports is a pre-existing vendored/forked whole file, not authored copy-paste, and was already attributed in round1 (d7fdcf3).
gizmodata/gizmosql	0171cc6f5677e5e0ea3a4cac1f1e66452355f157	TP		within-file-chunk	src/client/output_renderer.cpp:560-578 (CsvRenderer) ⟵ 581-601 (TabsRenderer)		CsvRenderer::Render copy-pasted to TabsRenderer::Render — identical header-loop + row-loop, only ',' -> '\t' and CsvEscape() -> raw value differ
gizmodata/gizmosql	0171cc6f5677e5e0ea3a4cac1f1e66452355f157	TP		within-file-chunk	src/client/output_renderer.cpp:603-636 (JsonRenderer) ⟵ 638-666 (JsonLinesRenderer)		JsonRenderer per-row object-emitting body copied verbatim into JsonLinesRenderer; only the outer wrapper ([\n ... ]) vs newline-per-row differs — whole null/numeric/bool/string branch duplicated
gizmodata/gizmosql	45d073c21416cff8d2bac19dc1749be2e8aa3329	TP		partial-edited	src/client/syntax_highlighter.cpp:160-197 (single-quote handling) ⟵ 199-218 (double-quote handling)		Single-quote string-state block copy-pasted to double-quote identifier block: same toggle-flag/set_color/++i/continue skeleton, flag renamed in_single_quote->in_double_quote and color YELLOW->DEFAULT
gizmodata/gizmosql	4305b69cb2777f6347c157c6cc3a31a21bc4cddf	TP		within-file-chunk	src/duckdb/duckdb_sql_info.cpp:31-90 (5x GetDynamic*Functions)		GetDynamicNumericFunctions/StringFunctions/SystemFunctions/DateTimeFunctions are clone-stamped: call ExecuteSqlAndGetStringVector(<sql>) then identical 'if(result.ok()) return ValueOrDie(); return {};' tail; only the SQL string literal changes
graphillion/kyotodd	dbf24972cddf0cef8fdd5ca5dde631fd3a37607a	FP	whole-file		include/mtbdd_core.h / mtbdd_class.h / mtbdd_io.h	include/mtbdd.h	Header monolith split (mtbdd.h 2934 lines -> 3 internal headers + 18-line umbrella). Same move-not-copy situation as 9b365935 but for headers; verbatim template bodies relocated into new headers would be reported as cross-file clones.
graphillion/kyotodd	9b3659358d57630d1aa8c97c80b7ba0e1872b3a1	FP	whole-file		src/zdd_adv_count.cpp / zdd_adv_filter.cpp / zdd_adv_rank.cpp / zdd_adv_weight.cpp	src/zdd_adv.cpp	Pure monolith split: 2239 lines deleted from zdd_adv.cpp and re-created verbatim across 4 new per-category .cpp files (0 net logic change). A token/line dup detector run on the resulting tree (as the ca7523 hint did with zdd_adv_count.cpp:916-925 <- zdd_adv.cpp:850-859) reports the moved bodies as cross-file verbatim clones, but no code was duplicated - it was relocated. The original source no longer exists, so it is a move, not a copy.
graphillion/kyotodd	357b0c0175be69ce3477b8941eff5b5248328fd8	TP		within-file-chunk	src/zdd_adv_count_iter.cpp:22-127 / 128-215 / 216-310 / 311-406 / 407-527 / 528-630 / 631-end (7 *_iter ops)		iter_plan batch 4: same manual-stack scaffold copied across the 7 count/profile/elmfreq/exactcount/countintersec _iter variants (7x stack.reserve block), each a partial edit of the prior with the per-op combine logic swapped. Same authored copypaste idiom as batch 2.
graphillion/kyotodd	e04128add0d677989e0ec9fb6a1a7226a16ec17a	TP		within-file-chunk	src/zdd_ops_iter.cpp:397-516 (bddunion_iter) vs 517-654 (bddintersec_iter) vs 655-803 (bddsubtract_iter) vs 944-1079 (bddissubset_iter) vs 1080-1228 (bddisdisjoint_iter)		iter_plan batch 2: 14 *_iter functions repeat the same explicit-stack state machine (enum Phase + struct Frame{f,g,top_var,f_hi,g_hi,lo_result,phase} + stack.reserve(64) + while/switch ENTER/GOT_* scaffold) verbatim, swapping only terminal cases and the combine step; 15x identical stack.reserve(64) init block, 7x identical 'enum class Phase{ENTER,GOT_LO,GOT_HI}'. union vs intersec differ in only ~40 of 120 lines.
hammermaps/halflife-op4-updated-sohl	n/a	FP	other		utils/qcsg/*.cpp	utils/qcsg/*.c	diverged cross-file .cpp<-.c — это МИГРАЦИЯ C->C++ (Half-Life SDK tools переименованы .c->.cpp с правками). Парные .c удалены, текущее дерево только .cpp. Не копипаст, а портирование файла.
hyzboy/CMMath	top	FP	other		inc/hgl/math/transform/Transform.h vs (deleted) inc/hgl/math/Transform.h; src/Geometry/AABB.cpp vs (deleted) src/graph/Bounding/AABB.cpp		A header/source reorganization: Transform.h was split/moved into a transform/ subdir and AABB.cpp moved from src/graph/Bounding/ to src/Geometry/. Both BASE-side files no longer exist; the verbatim cross-file hits are relocated files vs deleted originals.
jjbudz/6502	n/a	FP	other		l6502.cpp	6502.cpp	diverged cross-file l6502.cpp<-6502.cpp — 6502.cpp переименован в l6502.cpp (в текущем дереве только l6502.cpp). Сравнение старого удалённого файла с новым = rename, не клон.
joshualongenecker/home-assistant-bridge-esphome	top	FP	other		components/geappliances_bridge/mqtt_bridge.cpp vs (deleted) src/mqtt_bridge.cpp		ESPHome external-component restructure: src/mqtt_bridge.cpp was MOVED into components/geappliances_bridge/. The BASE-side src/mqtt_bridge.cpp no longer exists; the 4 cross-file hits are the relocated file vs its deleted original.
katahiromz/onigpp	477339a8d75872e601c07ec29c7581190034d193	FP	idiom		onigpp.h:248-447		24 non-member comparison operators for sub_match (==,!=,<,<=,>,>= across 4 operand-pair categories: sub_match/sub_match, sub_match/string_type and reverse, sub_match/C-string and reverse). Each body is a one-liner forwarding to compare() with the same comparison constant; only the template signature and the compare-arg order differ. Token/line dedup sees ~24 near-identical 3-line blocks within the file and flags diverged within-file copies. But this is the mandated std::sub_match operator set -- the std spec requires exactly these overloads, so it is canonical boilerplate, not avoidable copy-paste.
katahiromz/onigpp	50b5bd207616aec19ea24fffa8d7b974dc5f4fb2	FP	idiom		tests/regex_exception_test.cpp:9-60		Each test_* function is the same scaffold: cout banner -> bool threw=false -> try{ construct regex }catch(regex_error&){threw=true; cout} -> assert(threw && "...") -> cout PASSED. Only the pattern literal and the message string change. Line/token dedup flags many diverged within-file copies across the test_* functions; the same scaffold also recurs across regex_iterator_zero_width_test.cpp as cross-file dups.
katahiromz/onigpp	21e189effb4ffb538d678d8cc5a945d16d6df39d	TP		within-file-chunk	src/onigpp.cpp:1849-1994		format_literal() copies the hex/octal helpers (is_hex_digit/hex_value/is_octal_digit -> _is_hex_digit/_hex_value/_is_octal_digit) and the \xHH / \uHHHH scan-and-decode loop verbatim from _preprocess_pattern_for_ecmascript() (same file, lines 1054-1093), renaming the inline lambdas to free template fns and extending with \U/octal; later reverted wholesale in 3bddb01c, corroborating the dup
lwqwag/PclCSharp	top	FP	other		pcl_util.cpp/util_module.cpp vs (deleted) PclDll.cpp		A monolithic PclDll.cpp was split into pcl_util.cpp + util_module.cpp (functions extracted to new files). BASE-side PclDll.cpp is gone; the verbatim cross-file hits are extracted functions vs their deleted source file.
lyquid/Romulus	top	FP	idiom		lib/romulus/database/database.cpp, scanner/hash_service.cpp, dat/dat_parser.cpp (within-file)		ROM manager: repeated SQLite-statement prepare/bind/step blocks and hash-update loops. DB/parse idiom (0.45-0.67).
makr-code/ThemisDB	a4564343651d94c0ea421586fc1ca39be27a6f18	FP	idiom		benchmarks/bench_advanced_patterns.cpp:533-560		each 'class ParallelityBenchPhaseXX_YY : public benchmark::Fixture' has a near-identical SetUp()/TearDown() (RocksDBWrapper::Config, remove_all/create_directories(db_path_), db_->open(), createIndex); google-benchmark fixture boilerplate copied per scenario (164 dup6blocks in one file)
makr-code/ThemisDB	84d1fada6b958a9c16d4b6ed5e0b6ea49c104000	FP	generated		every *.cpp/*.h file, header lines 1-17		the 'ThemisDB Version Bot' auto-update commits (84d1fa, e94424, 80cd54, 2563a40, bdb820, 7f2db8, 66fe633, 22562f9 ...) only rewrite a machine-generated boxed banner comment block (File/Version/Last Modified/Quality Metrics/Revision History) present identically at the top of thousands of files; #056 sees a verbatim multi-line block repeated across the whole corpus
makr-code/ThemisDB	efdbcc2fc8a0456f85b4178da38541a5d139f9c9	FP	data-table		src/content/content_security.cpp:82-124		toJson()/fromJson() serialization: long runs of 'j["x"] = x;' and 'if (j.contains("x")) cfg.x = j["x"];' plus one-line setters setMalwareFilter/setPiiDetector/... — structurally identical lines differing only by field name, inflating dup6block count
makr-code/ThemisDB	44fda600617601f37a23e330cfee28eb0e1c9785	FP	idiom		src/llm/lora_framework/kernels/hip_kernels.cpp:95-140		GPU tiled-matmul kernel: the 'load tile of A / load tile of B' guarded-copy stanzas are the canonical CUDA/HIP shared-memory tiling pattern; the two halves are structurally identical (bounds check + assign or zero), counted as within-file dup
makr-code/ThemisDB	45680cf99d8eaa561e72002af04a4430b43ef20d	FP	idiom		src/server/http_server.cpp:313-345		subsystem registration boilerplate in the http_server ctor: repeated 'x_api_ = std::make_unique<XHandler>(); THEMIS_INFO("X initialized");' and 'if (std::filesystem::exists(path)) loadFromFile(path,&err)' blocks for ~40 handlers; the init template recurs but each instance wires a different type
makr-code/ThemisDB	efdbcc2fc8a0456f85b4178da38541a5d139f9c9	TP		within-file-chunk	src/analytics/model_serving.cpp:197-335		predict()/predictBatch()/predictProba() share an identical copied skeleton: same 'capture shared_ptr<Entry> under shared_lock, find/throw out_of_range' block + same 'run inference outside lock, then update health under e.health_mu' block; only the middle inference call and one counter differ
makr-code/ThemisDB	f2ad9532431c01facd570bb4201eff83aca06475	TP		cross-file-chunk	src/scraper/scraper_config.cpp:1-241		plugin-flatten refactor COPIED whole files plugins/scraper/src/{scraper_config,scraper_plugin,scraper_metadata_writer}.cpp into src/scraper/ WITHOUT deleting the originals; the two trees coexist byte-identical except the #include path -> two divergent live copies
melkyr/znineeight	212e067a3fb9fe59d36d7335e2e6b538561fd4fb	FP	idiom		src/bootstrap/lifetime_analyzer.cpp:117-202		isDangerousLocalPointer / trackLocalPointerAssignment / extractVariableName each repeat the same visitor guard 'expr->type==NODE_UNARY_OP && op==TOKEN_AMPERSAND && operand->type==NODE_IDENTIFIER -> operand->as.identifier.name'. This is the AST-visitor unwrap idiom, not a copied logic block; each function does different work after the guard.
melkyr/znineeight	589a9272bf72	FP	idiom		tests/test_runner_main.hpp:17-31	tests/main.cpp:9-23	Verbatim cross-file match is the textbook read-file-into-buffer stdio helper (fopen rb / fseek SEEK_END / ftell / malloc length+1 / fread / buffer[length]=0 / fclose). test_runner_main.hpp is ALREADY the deliberately-shared header-only helper, #included by ~30 tests/main_batchNN.cpp; tests/main.cpp just carries a stale inline copy of the same idiom. Detector reports a 'cross-file chunk' but the canonical copy is intentional dedup-into-header, and the body is a universal ~15-line stdio boilerplate.
melkyr/znineeight	09ebf19f30c0b7862872c9a03bb9a02ea2f3f495	TP		within-file-chunk	src/bootstrap/ast_utils.cpp:241-267		cloneASTNode case NODE_STRUCT_DECL / NODE_UNION_DECL / NODE_ENUM_DECL are 3 byte-identical clone blocks modulo type name: alloc *DeclNode, plat_memcpy, alloc DynamicArray<ASTNode*>, ensure_capacity(fields->length()), append-loop over ->fields. Same pattern repeats for function_call/tuple/block array members
melkyr/znineeight	b2fe2bae55a0e96020653f9a37d7e572519e46d5	TP		within-file-chunk	src/bootstrap/double_free_analyzer.cpp:428-491		visitWhileStmt and visitForStmt are a copy-paste pair: identical pushScope(true)x2, 'Analyze body once', verbatim 'Conservative: all variables modified in loop become AS_UNKNOWN' loop over loop_state->modified, then mergeScopesLinear; only diff is while_stmt.body vs for_stmt->body and final_while_state vs final_for_state
mgradwohl/tasksmack	05a40b4bd32c8a16ec5bde43c6f6bf96cc22fc1f	FP	other		src/App/Panels/GpuSection.cpp + NetworkSection.cpp vs src/App/Panels/SystemMetricsPanel.cpp		Refactor 'Extract GPU and Network sections from SystemMetricsPanel': 1629 lines deleted from the monolith SystemMetricsPanel.cpp and re-added as GpuSection.cpp/NetworkSection.cpp/etc. A line/token clone detector sees near-verbatim blocks present on BOTH sides of the same commit and reports cross-file duplication, but this is a code MOVE (extract-method/extract-file refactor), not new copy-paste — the source blocks were removed in the same commit.
mgradwohl/tasksmack	2d571bf866083dbd48099f0404ba1a275e2946ca	FP	idiom		src/App/Panels/NetworkPanel.cpp:98-216 vs other *Panel.cpp		New NetworkPanel reuses the project's Layer/Panel lifecycle boilerplate: onAttach()/onDetach()/onUpdate(float)/render(bool*)/renderContent() with the same SystemModel->snapshot() prologue every panel uses. A detector keys on this shared structural skeleton across panels and flags it as cross-file duplication, but it is the framework's mandated panel interface, not copied logic.
mgradwohl/tasksmack	a3c7408439150274552b557716d232519b605873	FP	idiom		tests/Platform/test_LinuxPowerProbe.cpp:192-196		Multiple Linux probe test files each carry a private static writeFile(path, content){ ofstream f(path); f << content; } sysfs-fixture helper (and ScopedTempDir.h was later added to consolidate temp-dir setup). A cross-file detector flags these tiny identical helpers as duplication, but at ~3 statements they are below any reasonable clone size and represent an unavoidable test idiom.
mgradwohl/tasksmack	3db63a65d84cca7cf120301a43a78c876fb5f269	TP		within-file-chunk	tests/Platform/test_LinuxPowerProbe.cpp:271-298		Battery_Charging_ReturnsCorrectState (271-283) and Battery_Full_ReturnsCorrectState (286-298) are copy-paste-and-adapt clones of Battery_Discharging (255-269): identical makeBatteryDevice+writeFile(status)+writeFile(capacity)+read+EXPECT_EQ scaffold, only the status string, expected BatteryState enum and percent differ. Whole cluster (Discharging/Charging/Full/NotCharging/Unknown) is duplicated TEST_F bodies that should be a value-parameterized test (TEST_P).
mi0e/subconverter	808bd96d22d6	FP	generated		include/nlohmann/json.hpp, include/inja.hpp, include/quickjspp.hpp (within-file)		The majority of the 59 hits are within-file self-similarity inside vendored amalgamated single-header libraries: nlohmann/json v3.11.2, Pantor inja v3.4.0, quickjspp. These headers contain many near-identical template specializations (serializer/parser overloads) by design, so a within-file token detector finds dozens of high-similarity blocks that are not authored duplication.
mi0e/subconverter	808bd96d22d6	FP	idiom		src/handler/webget.cpp:210-231	232-247 and similar author-code within-file pairs	The few author-code hits (subexport.cpp, templates.cpp, webget.cpp) are short adjacent blocks with low line-similarity (0.5-0.6) -- repeated curl/option-setup and template-render boilerplate, not copied-and-edited logic.
michael-haufschild-gib/MultiScoper	top	FP	other		tests/test_source_state.cpp vs tests/test_source.cpp; test_harness/src/Main.cpp (within)		All top hits are in tests/: parametrized test cases and shared setup/teardown across two test files repeat verbatim by design (same fixtures, same arrange-act-assert skeleton). Not production copypaste.
nayutalienx/cursor-trail	top	FP	idiom		CursorTrail/Game.cpp (within-file)		Tiny game loop: update vs render share per-particle iteration scaffolding (0.60 line-sim). Idiom.
philstopford/cine-encoder	74f803e700e7	FP	idiom		app/mainwindow.cpp:3696-3719 vs 4671-4699		Single low-confidence within-file pair (line-similarity 0.26) inside a large Qt mainwindow.cpp, flagged on a commit whose message is 'Update README.md'. The blocks are repeated Qt UI slot/setup patterns, not copied logic.
remiserriere/AI-on-the-edge-device	0bc308c9b6c4	FP	whole-file		code/components/jomjol_*/**.cpp (within-file)		Repo is a fork of jomjol/AI-on-the-edge-device; the code/components/jomjol_* tree is upstream code, not the forker's authorship. The within-file hits (Helper.cpp, MainFlowControl.cpp, ClassControllCamera.cpp, ClassFlowControll.cpp) are upstream's own structure. The two test_PointerEvalAnalogToDigitNew.cpp 'within-file' pairs are mirror-image test fixtures (parametrized test cases), an idiom not a defect.
shelbeely/fallout1-ce	top	FP	whole-file		src/game/inventry.cc, src/plib/db/db.cc, src/game/scripts.cc (within-file)		fallout1-ce is a re-implementation/reconstruction of the original Fallout engine; src/game/** and src/plib/** mirror the original game's code. The within-file hits are the original engine's repeated inventory/db/script handling blocks (state-driven opcode/inventory loops), reconstructed faithfully -- upstream-equivalent code, not the forker's authored duplication.
shifty81/FreshVoxel	872fe16371b32e80bedba902835d217d21ee3a62	FP	idiom		examples/camera_system.cpp / collision_detection.cpp / player_controller.cpp (and 7 sibling example files, head ~lines 1-30)		All 10 tutorial example files share a fixed scaffold: a doxygen /** @file ... @brief ... This example shows: */ header, the same include preamble (<iostream>,<memory>,glm), int main(), and a std::cout banner pattern (=== Fresh Voxel Engine: X === then [N/5] step lines). A token/line detector keyed on the banner + header template flags them as near-duplicates, but the actual bodies exercise entirely different engine APIs and logic. This is shared demo scaffolding, not lifted code.
shifty81/FreshVoxel	2bca71516a0c56cfdeffc89e5a0d8f8531db417b	FP	idiom		tests/editor/SelectionRendererTests.cpp:63-380 (20 TEST_F cases)		GoogleTest fixture file: 20 TEST_F(SelectionRendererTest, ...) bodies repeat the same arrange/act/assert scaffold (construct SelectionRenderer, initialize with mock DebugRenderer, call render, EXPECT no-crash / EXPECT color). The per-test boilerplate is structurally near-identical by the nature of xUnit fixtures, so a chunk detector reports many internal near-dupes. Not copy-paste drift.
shifty81/FreshVoxel	266d59afef4eb0169cb7055c321051446e504499	TP		cross-file-chunk	engine/scripting/lua/LuaWeatherBindings.cpp:1-70	> engine/scripting/lua/LuaSeasonBindings.cpp:1-90	LuaWeatherBindings is a copy-renamed clone of LuaSeasonBindings: identical registerBindings scaffold (includes, sol guard, two null-check blocks with LOG_ERROR_C, create_named_table, lambda-wrapper-per-API idiom, section-comment banners); only Season<->Weather and the per-API verb names differ. Both files added in the SAME commit, so it is a single copy-paste-then-edit act.
shifty81/FreshVoxel	c18f9c99fbbd5b006ff21f4912ac4d617bd8eca4	TP		within-file-chunk	src/core/Engine.cpp Engine::createDemoEntities() (new function appended after setupNativeToolbar, ~lines 2010-2105 of new file)		Three sequential entity-construction blocks (Red Cube / Green Sphere / Yellow Light), each a copy of the same scaffold: createEntity -> new TransformComponent(pos,rot,scale) -> addComponent -> new RendererComponent -> new MaterialComponent (set color/flags) -> sceneHierarchy->addNode(name) -> node->userData -> LOG_INFO_C. Only literal values/names change. Should be a loop over a small data table; classic AI within-file repetition.
starseeker/obol	ee7b6e9ddb9a	FP	data-table		src/glue/gl.cpp:604-671 (radeon/matrox/elsa/sun/trident _warning)		A family of *_warning() functions differing only by the env-var string literal (OBOL_GLGLUE_NO_RADEON_WARNING, ..._G400_..., ..._ELSA_..., etc). Detector flags 6 near-identical 8-line bodies as within-file copy-edit, but this is an env-var lookup table unrolled into functions (one row per driver). Also: gl.cpp carries the upstream Kongsberg/Coin3D copyright header and is the renamed-to-OBOL vendor dispatch glue, not freshly authored code.
starseeker/obol	50f81d917e1de22740ee6309a46e1f4a96196e6	FP	generated		src/glue/gl_stub.cpp:32-260 (and ~600 more)		OBOL_NO_OPENGL stub file: ~600 no-op SoGLContext_glXxx() wrappers, each body is just (void)glue;(void)arg1;... So any token/line detector sees hundreds of near-identical within-file chunks (rename of the parameter-discard list). This is mechanical dispatch-stub boilerplate, not a copied-and-edited algorithm. File header self-declares it as a stub replacement for gl.cpp.
starseeker/obol	caf93285fe1a	FP	idiom		tests/rendering/render_bbox_action.cpp:25,282 vs render_callback_action.cpp:24,283		All render_*.cpp tests open with the same harness preamble: #include headless_utils.h + SoOrthographicCamera, static const int W/H=256, initCoinHeadless(), identical camera position/near/far/height setup. Cross-file token overlap on this shared test-harness idiom can trip a low-threshold detector, but the actual per-test logic (test1_..testN_, validators) differs per file.
starseeker/obol	bfe2e99bf8ab0ca3df72ed13e0bdc07216bf8760	TP		cross-file-chunk	tests/rendering/render_transparency.cpp:28-53 vs tests/rendering/render_annotation.cpp:30-52		validateTransparency = copy of validateAnnotation: identical centre-pixel scan loop + threshold + PASS/FAIL prints, only the counter var name and message strings renamed; main() camera/light/offscreen-render scaffold also copy-edited between the two files in same commit
studiocollective/songbird	838d965a4858c38b56d661f914e02a119d7107aa	FP	idiom		app/bridge/TrackBridge.cpp (withNativeFunction lambda scaffolds)		Every JUCE WebBrowser handler is '.withNativeFunction("name", [this](auto& args, auto complete){ if(!edit||args.size()<N){complete(err);return;} ... complete(juce::JSON::toString(...)); })'. The fixed scaffold (arg-check, callAsync wrapper, complete(json)) makes ANY two unrelated handlers score high on token similarity even when their actual logic differs, inflating cross/within-file hit counts.
studiocollective/songbird	a3efcf621dfa3916fdada95feb4663827a0d6972	FP	other		app/loader/BirdParser.cpp / BirdPopulator.cpp / BirdSerializer.cpp (vs deleted BirdLoader.cpp -1082)		'refactored loader' splits a 1082-line monolith BirdLoader.cpp into BirdParser/BirdPopulator/BirdSerializer. A line/token detector comparing the new files against the same-commit deletion (or against the prior BirdLoader.cpp blob) flags large verbatim overlap, but this is a MOVE (extract), not duplication — the original copies are gone, no surviving redundancy.
studiocollective/songbird	598cfe528d194491ad736930a16d6b8214937df6	TP		within-file-chunk	app/bridge/PluginMixerBridge.cpp:291-299 / 327-334		track-resolution preamble copied between setTrackMixer and setMixerParamRT handlers: 'auto audioTracks=te::getAudioTracks(*edit); te::AudioTrack* track=nullptr; if(trackId==(int)audioTracks.size()) track=dynamic_cast<te::AudioTrack*>(edit->getMasterTrack()); else if(...) track=audioTracks[trackId];' verbatim, bodies then diverge (volume/pan/mute/solo vs RT param switch)
studiocollective/songbird	838d965a4858c38b56d661f914e02a119d7107aa	TP		within-file-chunk	app/bridge/TrackBridge.cpp:680-684 / 757-761 (and ~9 handlers total)		5-line track-resolution guard 'auto audioTracks=te::getAudioTracks(*edit); if(trackId<0||trackId>=(int)audioTracks.size()){complete("{\"success\":false}");return;} auto* track=audioTracks[trackId];' copy-pasted across ~9 withNativeFunction handlers added in this single commit, each body diverging afterward
syoyo/tinyexr	top	FP	whole-file		deps/miniz/miniz.c vs tinyexr.h		tinyexr bundles miniz (zlib-compatible) under deps/miniz/, and tinyexr.h also embeds a copy of miniz inflate/deflate routines. The cross-file hits are two copies of the SAME vendored miniz library (one standalone, one inlined into the header) -- third-party code, not author copypaste.
viperx1/Usagi-dono	77d8d2ae596b63fa70658a6da4187a9babb28239	FP	idiom		usagi/src/animestats.cpp:22-44		Five sibling setters (setNormalEpisodes/setTotalNormalEpisodes/setNormalViewed/setOtherEpisodes/setOtherViewed) are each a single-line `m_x = std::max(0, count);`. Token-stream is near-identical across the five because trivial accessors carry almost no distinguishing tokens — only the member-name differs. This is generated-shaped getter/setter boilerplate from a struct->class SOLID conversion, not plagiarised logic.
viperx1/Usagi-dono	238159cc2006c66cfd08a4f76a5cdf5f3758a3d9	FP	idiom		usagi/src/deletionhistorymanager.cpp:22-38		Every *Manager class added in this commit opens with the identical Qt skeleton: `Ctor(QObject*parent):QObject(parent){}` + `ensureTablesExist(){ db=QSqlDatabase::database(); if(!db.isOpen()){LOG(...);return;} QSqlQuery q(db); q.exec("CREATE TABLE ..."); }`. The ctor and the db-open guard are byte-identical across DeletionHistoryManager/DeletionLockManager/WatchSessionManager; only the CREATE TABLE schema differs. Cross-file detector sees the shared header/guard as a copied chunk.
viperx1/Usagi-dono	c7f2ba91aee4dddb7e53076c1cc818bfd2471f3a	FP	data-table		usagi/src/watchsessionmanager.cpp:63-127		loadSettings and saveSettings each contain 4 near-identical 3-line blocks of the Qt settings idiom (`q.prepare("SELECT value FROM settings WHERE name='...'"); if (q.exec() && q.next()) {...}` / `INSERT OR REPLACE ...`). The repetition is a key/value data table expressed as inline code; only the setting name string and target member differ. Flagging it as a copied chunk is misleading — it is structurally a config table, not duplicated business logic.
viperx1/Usagi-dono	c7f2ba91aee4dddb7e53076c1cc818bfd2471f3a	TP		within-file-chunk	usagi/src/watchsessionmanager.cpp:516-553		getFilesForDeletion vs getFilesForDownload — same iterate-m_fileMarks-and-collect-by-markType skeleton copied, only the FileMarkType enum and the score-sort tail edited; classic copy-then-tweak of sibling accessors in a freshly-added file
viperx1/Usagi-dono	c7f2ba91aee4dddb7e53076c1cc818bfd2471f3a	TP		within-file-chunk	usagi/src/watchsessionmanager.cpp:553-677		autoMarkFilesForDeletion vs autoMarkFilesForDownload share the db-open guard + per-row QSqlQuery loop + std::sort(lambda) + mark/emit skeleton; bodies diverge in the SQL and threshold logic but the structural block was copied and partially edited
winnerspiros/UnleashedRecomp_Android	c2be71e30f92de1569b5dcd5dc1fc235acc09d0a	FP	generated		UnleashedRecomp/install/hashes/{holoska,mazuri,spagonia,chunnan,empire_city_adabat,...}.cpp		The install/hashes/*.cpp files are generated data-tables (line 1: '// File automatically generated by fshasher'). Each is identical scaffolding: a fixed header (#include <utility>/<array>/<cstdint>), three extern decls renamed per level (HoloskaHashes/HoloskaFiles/HoloskaFilesSize -> Mazuri.../Spagonia...), and a long std::array of '{{0}}' / hash literals. The renamed-identifier + boilerplate-header + repeated-row structure mimics edited-copy: high token w with renamed ids, plus near-identical line shape across files.
winnerspiros/UnleashedRecomp_Android	4534aa1c69648a0db8d934db92d8b6c394314512	FP	idiom		UnleashedRecomp/os/registry.h:12	> UnleashedRecomp/os/android/registry_android.inl:1	archcheck SF.9 reports a cycle registry.h -> registry_android.inl -> registry.h. This is the standard 'header includes its platform .inl at the bottom; the .inl re-includes the owning header so it parses standalone in an IDE' idiom — not a real circular module dependency. The .inl is a template-impl fragment, never a translation unit, so there is no real edge for layering purposes.
winnerspiros/UnleashedRecomp_Android	0aecaea5e30a3f904b8c37d365dda43dbda50865	TP		cross-file-chunk	UnleashedRecomp/kernel/imports.cpp:576-593 (also threading.cpp:12-29, synchronization.cpp, etc.)		Botched 'resolve conflicts' commit re-added +1590 lines to imports.cpp that the earlier clean split 2c74f0a (excluded) had MOVED out into kernel/threading.cpp, synchronization.cpp, nt.cpp, video.cpp... — re-pasting moved functions verbatim. E.g. KeDelayExecutionThread body is byte-identical in imports.cpp and threading.cpp. 0aecaea is a descendant of 2c74f0a yet undoes the split, leaving genuine cross-file duplication (and an ODR/redefinition hazard).
